row_type,slug,current_final_verdict,recommended_cleanup,redirect_target,hide_from_discovery,leave_generated_noindex_page,reason,risk_notes,likely_implementation_files
summary,,,"20 tools reviewed",,true,true,"Bulk merge/redirect cleanup plan for remaining brand/IP, platform, fandom, and overlap noindex tools.","Do not index any tool. Do not remove noindexToolSlugs as part of planning.","src/data/tools.ts; src/pages/tools/[slug].astro; scripts/patch-vercel-redirects.mjs; package.json; .vercel/output/config.json after build; dist after build"
summary,,,"recommended_redirect_count",19,true,false,"19 tools have a viable broader generic target already present from the allowed target set.","Redirect only after confirming search intent, preserving useful generic coverage, and removing old slugs from discovery/sitemap generation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
summary,,,"keep_noindex_only_count",1,true,true,"Only ao3-tag-generator should not redirect yet because tag-generator does not exist and hashtag-generator is an unsafe intent mismatch.","Keep generated noindex or hide from discovery until a safe generic destination exists.","src/data/tools.ts"
tool,roblox-username-generator,merge_or_redirect_candidate,redirect to broader generic tool,/tools/username-generator/,true,false,"Overlaps the broader username generator and carries brand/platform/IP, availability, impersonation, account-abuse, and platform-rule risks.","Safe target exists. Redirect is cleaner than indexing or keeping standalone discovery.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts; src/pages/tools/[slug].astro"
tool,spongebob-text-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fancy-text-generator/,true,false,"Protected character/franchise/IP text-style page overlaps generic fancy text transformation intent.","Target exists. Redirect should avoid implying brand/style affiliation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,undertale-text-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fancy-text-generator/,true,false,"Protected game/IP text-style page overlaps generic fancy text transformation intent.","Target exists. Redirect should avoid implying game/IP affiliation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,pokemon-text-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fancy-text-generator/,true,false,"Protected franchise/IP text-style page overlaps generic fancy text transformation intent.","Target exists. Redirect should avoid implying franchise/IP affiliation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,minecraft-text-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fancy-text-generator/,true,false,"Protected game/IP text-style page overlaps generic fancy text transformation intent.","Target exists. Redirect should avoid implying game/IP affiliation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,roblox-name-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/gaming-name-generator/,true,false,"Brand/platform/IP name page overlaps generic gaming name generation and has account, availability, impersonation, and platform-rule risks.","Target exists. Redirect is preferable to indexing standalone brand/platform intent.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,fortnite-name-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/gaming-name-generator/,true,false,"Brand/platform/IP name page overlaps generic gaming name generation and has availability and unofficial affiliation risks.","Target exists. Redirect is preferable to indexing standalone brand/platform intent.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,minecraft-name-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/gaming-name-generator/,true,false,"Protected game/platform name page overlaps generic gaming name generation.","Target exists. Redirect is preferable to indexing standalone brand/platform intent.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,valorant-name-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/gaming-name-generator/,true,false,"Protected game/platform name page overlaps generic gaming name generation.","Target exists. Redirect is preferable to indexing standalone brand/platform intent.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,league-of-legends-name-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/gaming-name-generator/,true,false,"Protected game/platform name page overlaps generic gaming and fantasy name generation.","Target exists. Gaming target is safer than a standalone brand/IP page.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,harry-potter-name-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/wizard-name-generator/,true,false,"Protected franchise/IP name page overlaps generic wizard/fantasy naming.","Target exists and is closest generic intent match.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,pokemon-name-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fantasy-name-generator/,true,false,"Protected franchise/IP name page overlaps generic creature/fantasy naming, but no narrower safe creature target is specified.","Target exists. Fantasy target is acceptable if copy avoids franchise/creature promises.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,sith-name-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fantasy-name-generator/,true,false,"Protected franchise/IP name page overlaps generic dark fantasy/villain naming; requested target set includes fantasy-name-generator but not villain-name-generator.","Fantasy target exists and matches requested allowed targets; villain-name-generator also exists and may be more precise if allowed later.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,star-wars-name-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fantasy-name-generator/,true,false,"Protected franchise/IP name page overlaps generic sci-fi/fantasy naming; requested target set includes fantasy-name-generator but not scifi-name-generator.","Fantasy target exists; scifi-name-generator also exists and may be more precise if allowed later.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,star-wars-text-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fancy-text-generator/,true,false,"Protected franchise/IP text-style page overlaps generic fancy text transformation intent.","Target exists. Redirect should avoid implying franchise/IP affiliation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,dark-souls-text-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fancy-text-generator/,true,false,"Protected game/IP text-style page overlaps generic fancy text transformation intent.","Target exists. Redirect should avoid implying game/IP affiliation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,ao3-tag-generator,merge_or_redirect_candidate,keep noindex only,,true,true,"No safe generic tag-generator target exists, and hashtag-generator is not a good match for archive/fandom metadata intent.","Hide from discovery and leave generated noindex, or create a future generic non-platform writing/tag organizer before redirecting.","src/data/tools.ts"
tool,facebook-hashtag-generator,final_keep_noindex_social_spam_risk,redirect to broader generic tool,/tools/hashtag-generator/,true,false,"Platform hashtag page overlaps broader hashtag generator and carries spam/reach-abuse/platform-risk.","Target exists. Redirect avoids standalone platform-spam intent.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,instagram-hashtag-generator,final_keep_noindex_social_spam_risk,redirect to broader generic tool,/tools/hashtag-generator/,true,false,"Platform hashtag page overlaps broader hashtag generator and carries spam, reach/ranking, banned-tag, and platform-affiliation risk.","Target exists. Redirect avoids standalone platform-spam intent.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,tiktok-hashtag-generator,final_keep_noindex_social_spam_risk,redirect to broader generic tool,/tools/hashtag-generator/,true,false,"Platform hashtag page overlaps broader hashtag generator and carries trend-abuse, spam, reach/ranking, monetization-claim, and deceptive engagement risk.","Target exists. Redirect avoids standalone platform-spam intent.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
implementation,,,"likely files",,true,true,"Implementation would likely update source discovery data, route patching, and generated output only after build.","Do not implement in this planning pass.","src/data/tools.ts; scripts/patch-vercel-redirects.mjs; package.json postbuild already present; src/pages/tools/[slug].astro only if route/static generation logic needs exclusion; dist and .vercel/output generated by build"
