tool_slug,tool_name,current_categorySlug,recommended_categorySlug,reason
sibling-name-generator,Sibling Name Generator,human-name-generators,name-generators,"People and sibling names belong in the official name generator category."
fantasy-language-generator,Fantasy Language Generator,writing-generators,creative-generators,"Fictional language and worldbuilding content fits the creative/story category."
acceptable-use-policy-generator,Acceptable Use Policy Generator,other,business-generators,"Policy templates support websites and business operations."
app-icon-generator,App Icon Generator,other,business-generators,"App icon concepts are product and brand assets."
app-name-generator,App Name Generator,other,business-generators,"App naming is a business and product branding task."
bakery-name-generator,Bakery Name Generator,other,business-generators,"Bakery names are business naming outputs."
banner-generator,Banner Generator,other,text-font-generators,"Text banners are text formatting and ASCII-style output."
barbarian-name-generator,Barbarian Name Generator,other,gaming-generators,"Barbarian names are fantasy/RPG character names."
big-text-generator,Big Text Generator,other,text-font-generators,"Big text is a text style conversion tool."
brat-text-generator,Brat Text Generator,other,text-font-generators,"Styled text belongs with font and text style tools."
breadcrumb-generator,Breadcrumb Generator,other,seo-generators,"Breadcrumb schema is an SEO structured-data tool."
bubble-text-generator,Bubble Text Generator,other,text-font-generators,"Bubble text is Unicode text styling."
business-card-generator,Business Card Generator,other,business-generators,"Business card layouts are business collateral."
castle-name-generator,Castle Name Generator,other,gaming-generators,"Castle names serve fantasy maps, RPGs, and worldbuilding."
channel-name-generator,Channel Name Generator,other,social-media-tools,"Channel names are for YouTube, Twitch, and social platforms."
chatgpt-prompt-generator,ChatGPT Prompt Generator,other,ai-writing-generators,"Prompt generation belongs with AI writing tools."
club-name-generator,Club Name Generator,other,name-generators,"Club naming is a general name-generation task."
cocktail-name-generator,Cocktail Name Generator,other,creative-generators,"Cocktail naming is a creative naming task."
contract-generator,Contract Generator,other,business-generators,"Contracts support business and freelance workflows."
cowboy-name-generator,Cowboy Name Generator,other,gaming-generators,"Cowboy names are character/RPG/story names."
css-code-generator,CSS Code Generator,other,developer-generators,"CSS code output belongs in developer tools."
cursive-name-generator,Cursive Name Generator,other,text-font-generators,"Cursive name output is text styling."
cute-text-generator,Cute Text Generator,other,text-font-generators,"Cute text is Unicode/decorative text styling."
dalle-prompt-generator,DALL-E Prompt Generator,other,ai-writing-generators,"AI image prompt writing belongs with AI writing generators."
dinosaur-name-generator,Dinosaur Name Generator,other,name-generators,"Dinosaur names are a general creative name-generation task."
display-name-generator,Display Name Generator,other,social-media-tools,"Display names are used for profiles and online platforms."
dj-name-generator,DJ Name Generator,other,creative-generators,"DJ names are creative performer naming outputs."
dmca-policy-generator,DMCA Policy Generator,other,business-generators,"DMCA policy pages support websites and business operations."
dog-name-generator,Dog Name Generator,other,name-generators,"Dog names belong in the general name generator category."
estimate-generator,Estimate Generator,other,business-generators,"Estimates are business documents."
fake-text-generator,Fake Text Generator,other,ai-writing-generators,"Placeholder prose is generated writing content."
farm-name-generator,Farm Name Generator,other,business-generators,"Farm and ranch names are business/brand naming outputs."
favicon-generator,Favicon Generator,other,developer-generators,"Favicons and HTML snippets are web development assets."
food-truck-name-generator,Food Truck Name Generator,other,business-generators,"Food truck names are business naming outputs."
funny-name-generator,Funny Name Generator,other,name-generators,"Funny names are a general name-generation task."
gnome-name-generator,Gnome Name Generator,other,gaming-generators,"Gnome names are fantasy/RPG character names."
hotel-name-generator,Hotel Name Generator,other,business-generators,"Hotel and resort names are business naming outputs."
html-code-generator,HTML Code Generator,other,developer-generators,"HTML code output belongs in developer tools."
invisible-text-generator,Invisible Text Generator,other,text-font-generators,"Invisible text is a Unicode text style utility."
letterhead-generator,Letterhead Generator,other,business-generators,"Letterheads are business document collateral."
logo-generator,Logo Generator,other,business-generators,"Logo concepts are branding assets."
mermaid-name-generator,Mermaid Name Generator,other,gaming-generators,"Mermaid names are fantasy/RPG/story names."
meta-description-generator,Meta Description Generator,other,seo-generators,"Meta descriptions are SEO copy."
monster-name-generator,Monster Name Generator,other,gaming-generators,"Monster names are fantasy/RPG/story names."
mood-board-generator,Mood Board Generator,other,creative-generators,"Mood boards are creative planning assets."
pen-name-generator,Pen Name Generator,other,name-generators,"Pen names are personal/author name outputs."
pet-name-generator,Pet Name Generator,other,name-generators,"Pet names belong in the name generator category."
pixel-text-generator,Pixel Text Generator,other,text-font-generators,"Pixel text is a text style conversion tool."
playlist-name-generator,Playlist Name Generator,other,creative-generators,"Playlist naming is a creative music naming task."
proposal-generator,Proposal Generator,other,business-generators,"Proposals are business documents."
purchase-order-generator,Purchase Order Generator,other,business-generators,"Purchase orders are business documents."
qr-code-generator,QR Code Generator,other,utility-generators,"QR code creation is a general utility."
quotation-generator,Quotation Generator,other,business-generators,"Quotations are business documents."
ransom-note-text-generator,Ransom Note Text Generator,other,text-font-generators,"Ransom-note output is decorative text styling."
retro-text-generator,Retro Text Generator,other,text-font-generators,"Retro text is text style conversion."
return-policy-generator,Return Policy Generator,other,business-generators,"Return policies support ecommerce and business operations."
robot-name-generator,Robot Name Generator,other,gaming-generators,"Robot names support sci-fi games, stories, and worldbuilding."
salon-name-generator,Salon Name Generator,other,business-generators,"Salon names are business naming outputs."
service-agreement-generator,Service Agreement Generator,other,business-generators,"Service agreements are business documents."
ship-name-generator,Ship Name Generator,other,creative-generators,"Ship names are creative naming and worldbuilding outputs."
shopify-product-description-generator,Shopify Product Description Generator,other,business-generators,"Shopify product descriptions support ecommerce businesses."
short-code-generator,Short Code Generator,other,utility-generators,"Short codes are practical utility outputs."
sigil-generator,Sigil Generator,other,creative-generators,"Sigils are creative symbol/text concepts."
sitemap-generator,Sitemap Generator,other,seo-generators,"Sitemaps are SEO and site-indexing tools."
sith-name-generator,Sith Name Generator,other,gaming-generators,"Sith names are gaming/fantasy character names."
spaceship-name-generator,Spaceship Name Generator,other,creative-generators,"Spaceship names are sci-fi creative/worldbuilding outputs."
sports-team-name-generator,Sports Team Name Generator,other,name-generators,"Sports team names are general naming outputs."
tattoo-name-generator,Tattoo Name Generator,other,text-font-generators,"Tattoo name designs are lettering and text styling outputs."
token-generator,Token Generator,other,developer-generators,"Tokens for auth and APIs belong in developer tools."
typewriter-text-generator,Typewriter Text Generator,other,text-font-generators,"Typewriter text is a font/text style conversion."
