slug,name,categorySlug,generatorType,premium_done,basic_or_generic,missing_intent_specific_output,generic_fallback_only,has_renderer_case,built_page_exists,noindex_expected,noindex_follow_rendered,missing_required_fields,missing_meta,invalid_category_slug,broken_related_slugs,duplicate_slug,mojibake_source_markers,mojibake_built_markers,notes
fancy-text-generator,Fancy Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
name-generator,Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
username-generator,Username Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
business-name-generator,Business Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
youtube-tag-generator,YouTube Tag Generator,social-media-tools,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
instagram-bio-generator,Instagram Bio Generator,bio-caption-generators,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
meta-tag-generator,Meta Tag Generator,seo-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
bold-text-generator,Bold Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
cursive-text-generator,Cursive Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
glitch-text-generator,Glitch Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
password-generator,Password Generator,utility-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
lorem-ipsum-generator,Lorem Ipsum Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
fantasy-name-generator,Fantasy Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
instagram-hashtag-generator,Instagram Hashtag Generator,social-media-tools,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
text-case-converter,Text Case Converter,utility-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
team-name-generator,Team Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
robots-txt-generator,Robots.txt Generator,seo-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
word-counter,Word Counter,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
uuid-generator,UUID Generator,developer-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
random-number-generator,Random Number Generator,random-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
small-text-generator,Small Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
italic-text-generator,Italic Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
strikethrough-text-generator,Strikethrough Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
underline-text-generator,Underline Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
vaporwave-text-generator,Vaporwave Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
reverse-text-generator,Reverse Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
unicode-text-generator,Unicode Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
tiktok-hashtag-generator,TikTok Hashtag Generator,social-media-tools,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
twitter-bio-generator,Twitter/X Bio Generator,bio-caption-generators,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
tiktok-bio-generator,TikTok Bio Generator,bio-caption-generators,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
linkedin-bio-generator,LinkedIn Bio Generator,bio-caption-generators,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
domain-name-generator,Domain Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
product-name-generator,Product Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
baby-name-generator,Baby Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
middle-name-generator,Middle Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
last-name-generator,Last Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
discord-name-generator,Discord Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
clan-name-generator,Clan Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
band-name-generator,Band Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
superhero-name-generator,Superhero Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
rap-name-generator,Rap Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
song-name-generator,Song Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
paragraph-generator,Paragraph Generator,ai-writing-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
sentence-generator,Sentence Generator,ai-writing-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
blog-name-generator,Blog Name Generator,ai-writing-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
pirate-name-generator,Pirate Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
medieval-name-generator,Medieval Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
hreflang-tag-generator,Hreflang Tag Generator,seo-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
schema-tag-generator,Schema Markup Generator,seo-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
slug-generator,URL Slug Generator,developer-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
hash-generator,Hash Generator,developer-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
json-formatter,JSON Formatter,developer-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
coin-flip,Coin Flip Generator,random-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
dice-roller,Dice Roller,random-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
color-palette-generator,Color Palette Generator,developer-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
town-name-generator,Town Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
kingdom-name-generator,Kingdom Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
dragon-name-generator,Dragon Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
wolf-name-generator,Wolf Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
demon-name-generator,Demon Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
elf-name-generator,Elf Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
podcast-name-generator,Podcast Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
youtube-name-generator,YouTube Channel Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
instagram-caption-generator,Instagram Caption Generator,bio-caption-generators,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
nickname-generator,Nickname Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
hashtag-generator,Hashtag Generator,social-media-tools,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
etsy-tag-generator,Etsy Tag Generator,seo-generators,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
writing-prompt-generator,Writing Prompt Generator,ai-writing-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
text-to-binary-generator,Text to Binary Converter,developer-generators,converter,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
morse-code-generator,Morse Code Generator,developer-generators,converter,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
star-wars-name-generator,Star Wars Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
anime-name-generator,Anime Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
fake-name-generator,Fake Name Generator,utility-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
qr-code-text-generator,QR Code Text Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
dnd-name-generator,D&D Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
orc-name-generator,Orc Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
witch-name-generator,Witch Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
alien-name-generator,Alien Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
vampire-name-generator,Vampire Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
fairy-name-generator,Fairy Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
goblin-name-generator,Goblin Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
character-name-generator,Character Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
story-name-generator,Story Title Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
twitch-name-generator,Twitch Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
random-phrase-generator,Random Phrase Generator,random-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
special-character-generator,Special Character Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
ascii-text-generator,ASCII Text Art Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
creepy-text-generator,Creepy Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
gaming-name-generator,Gaming Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
guild-name-generator,Guild Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
planet-name-generator,Planet Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
island-name-generator,Island Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
shop-name-generator,Shop Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
cafe-name-generator,Cafe Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
project-name-generator,Project Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
stage-name-generator,Stage Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
wrestling-name-generator,Wrestling Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
cool-text-generator,Cool Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
old-english-text-generator,Old English Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
uwu-text-generator,UwU Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
leet-text-generator,Leet Speak Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
random-text-generator,Random Text Generator,random-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
discord-timestamp-generator,Discord Timestamp Generator,developer-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
canonical-tag-generator,Canonical Tag Generator,seo-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
utm-generator,UTM Link Generator,seo-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
gibberish-generator,Gibberish Generator,random-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
shakespeare-insult-generator,Shakespeare Insult Generator,random-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
roblox-name-generator,Roblox Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
tiktok-name-generator,TikTok Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
instagram-name-generator,Instagram Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
couple-name-generator,Couple Name Generator,name-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
dwarf-name-generator,Dwarf Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
tiefling-name-generator,Tiefling Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
harry-potter-name-generator,Harry Potter Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
pokemon-name-generator,Pokemon Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
school-name-generator,School Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
street-name-generator,Street Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
book-club-name-generator,Book Club Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
seo-title-generator,SEO Title Generator,seo-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
facebook-hashtag-generator,Facebook Hashtag Generator,social-media-tools,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
pinterest-tag-generator,Pinterest Tag Generator,social-media-tools,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
soundcloud-tag-generator,SoundCloud Tag Generator,social-media-tools,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
comeback-generator,Comeback Generator,random-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
error-message-generator,Error Message Generator,developer-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
cipher-generator,Cipher Generator,developer-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
repeat-text-generator,Repeat Text Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
fortnite-name-generator,Fortnite Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
minecraft-name-generator,Minecraft Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
valorant-name-generator,Valorant Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
league-of-legends-name-generator,League of Legends Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
magic-name-generator,Magic Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
angel-name-generator,Angel Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
tavern-name-generator,Tavern Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
dungeon-name-generator,Dungeon Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
cat-name-generator,Cat Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
horse-name-generator,Horse Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
twitter-name-generator,Twitter/X Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
snapchat-name-generator,Snapchat Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
linkedin-headline-generator,LinkedIn Headline Generator,bio-caption-generators,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
bio-generator,Bio Generator,bio-caption-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
slogan-generator,Slogan Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
wifi-name-generator,WiFi Name Generator,random-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
color-name-generator,Color Name Generator,developer-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
hex-color-generator,Hex Color Generator,developer-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
rgb-generator,RGB Color Generator,developer-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
ai-prompt-generator,AI Prompt Generator,ai-writing-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
midjourney-prompt-generator,Midjourney Prompt Generator,ai-writing-generators,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
passphrase-generator,Passphrase Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
