slug,name,categorySlug,generatorType,premium_done,basic_or_generic,missing_intent_specific_output,generic_fallback_only,has_renderer_case,built_page_exists,noindex_expected,noindex_follow_rendered,missing_required_fields,missing_meta,invalid_category_slug,broken_related_slugs,duplicate_slug,mojibake_source_markers,mojibake_built_markers,notes
rubric-generator,Rubric Generator,ai-writing-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
assignment-generator,Assignment Generator,ai-writing-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
graphql-query-generator,GraphQL Query Generator,developer-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
mock-api-generator,Mock API Generator,developer-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
wheel-spinner-generator,Wheel Spinner Generator,random-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
product-benefits-generator,Product Benefits Generator,business-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
pattern-generator,CSS Pattern Generator,developer-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
blob-generator,CSS Blob Generator,developer-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
wave-generator,CSS Wave Generator,developer-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
viking-name-generator,Viking Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
wizard-name-generator,Wizard Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
villain-name-generator,Villain Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
werewolf-name-generator,Werewolf Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
japanese-name-generator,Japanese Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
korean-name-generator,Korean Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
city-name-generator,City Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
restaurant-name-generator,Restaurant Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
coffee-shop-name-generator,Coffee Shop Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
album-name-generator,Album Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
book-name-generator,Book Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
movie-name-generator,Movie Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
roblox-username-generator,Roblox Username Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
tiktok-username-generator,TikTok Username Generator,social-media-tools,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
receipt-generator,Receipt Generator,business-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
nda-generator,NDA Generator,utility-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
newsletter-name-generator,Newsletter Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
price-tag-generator,Price Tag Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
product-tag-generator,Product Tag Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
clothing-tag-generator,Clothing Tag Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
minutes-of-meeting-generator,Minutes Of Meeting Generator,business-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
event-name-generator,Event Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
college-name-generator,College Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
diner-name-generator,Diner Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
flower-name-generator,Flower Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
newspaper-name-generator,Newspaper Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
plant-name-generator,Plant Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
sibling-name-generator,Sibling Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
pick-a-name-generator,Pick A Name Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
name-generator-wheel,Name Generator Wheel,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
cake-company-names-generator,Cake Company Names Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
car-name-generator,Car Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
title-name-generator,Title Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
geo-tag-generator,Geo Tag Generator,utility-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
pet-tag-generator,Pet Tag Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
dj-tag-generator,DJ Tag Generator,utility-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
clan-tag-generator,Clan Tag Generator,utility-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
hang-tag-generator,Hang Tag Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
art-tag-generator,Art Tag Generator,utility-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
email-tag-generator,Email Tag Generator,utility-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
tag-team-name-generator,Tag Team Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
warrior-name-generator,Warrior Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
secret-santa-name-generator,Secret Santa Name Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
anagram-of-name-generator,Anagram Of Name Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
cyberpunk-name-generator,Cyberpunk Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
goth-name-generator,Goth Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
project-name-generator-keywords,Project Name Generator Keywords,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
scifi-name-generator,Sci-Fi Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
last-name-and-first-name-generator,First And Last Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
baby-name-generator-with-last-name,Baby Name Generator With Last Name,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
nickname-generator-based-on-name,Nickname Generator Based On Name,name-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
phonetic-spelling-of-name-generator,Phonetic Spelling Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
ipa-generator,IPA Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
name-combination-generator,Name Combination Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
performer-names-generator,Performer Names Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
disc-jockey-names-generator,DJ Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
name-pronunciation-generator,Name Pronunciation Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
fantasy-language-generator,Fantasy Language Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
color-palette-generator-from-name,Color Palette Generator From Name,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
mountain-name-generator,Mountain Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
forest-name-generator,Forest Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
team-name-generator-using-keywords,Team Name Generator By Keyword,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
trademark-friendly-name-generator,Trademark-Friendly Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
acceptable-use-policy-generator,Acceptable Use Policy Generator,business-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
app-icon-generator,App Icon Generator,business-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
app-name-generator,App Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
bakery-name-generator,Bakery Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
banner-generator,Banner Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
barbarian-name-generator,Barbarian Name Generator,gaming-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
big-text-generator,Big Text Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
brat-text-generator,Brat Text Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
breadcrumb-generator,Breadcrumb Generator,seo-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
bubble-text-generator,Bubble Text Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
business-card-generator,Business Card Generator,business-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
castle-name-generator,Castle Name Generator,gaming-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
channel-name-generator,Channel Name Generator,social-media-tools,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
chatgpt-prompt-generator,ChatGPT Prompt Generator,ai-writing-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
club-name-generator,Club Name Generator,name-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
cocktail-name-generator,Cocktail Name Generator,creative-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
contract-generator,Contract Generator,business-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
cowboy-name-generator,Cowboy Name Generator,gaming-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
css-code-generator,CSS Code Generator,developer-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
cursive-name-generator,Cursive Name Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
cute-text-generator,Cute Text Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
dalle-prompt-generator,DALL-E Prompt Generator,ai-writing-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
dinosaur-name-generator,Dinosaur Name Generator,name-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
display-name-generator,Display Name Generator,social-media-tools,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
dj-name-generator,DJ Name Generator,creative-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
dmca-policy-generator,DMCA Policy Generator,business-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
dog-name-generator,Dog Name Generator,name-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
estimate-generator,Estimate Generator,business-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
fake-text-generator,Fake Text Generator,ai-writing-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
farm-name-generator,Farm Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
favicon-generator,Favicon Generator,developer-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
food-truck-name-generator,Food Truck Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
funny-name-generator,Funny Name Generator,name-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
gnome-name-generator,Gnome Name Generator,gaming-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
hotel-name-generator,Hotel Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
html-code-generator,HTML Code Generator,developer-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
invisible-text-generator,Invisible Text Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
letterhead-generator,Letterhead Generator,business-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
logo-generator,Logo Generator,business-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
mermaid-name-generator,Mermaid Name Generator,gaming-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
meta-description-generator,Meta Description Generator,seo-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
monster-name-generator,Monster Name Generator,gaming-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
mood-board-generator,Mood Board Generator,creative-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
pen-name-generator,Pen Name Generator,name-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
pet-name-generator,Pet Name Generator,name-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
pixel-text-generator,Pixel Text Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
playlist-name-generator,Playlist Name Generator,creative-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
proposal-generator,Proposal Generator,business-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
purchase-order-generator,Purchase Order Generator,business-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
qr-code-generator,QR Code Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
quotation-generator,Quotation Generator,business-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
ransom-note-text-generator,Ransom Note Text Generator,text-font-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
retro-text-generator,Retro Text Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
return-policy-generator,Return Policy Generator,business-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
robot-name-generator,Robot Name Generator,gaming-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
salon-name-generator,Salon Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
service-agreement-generator,Service Agreement Generator,business-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
ship-name-generator,Ship Name Generator,creative-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
shopify-product-description-generator,Shopify Product Description Generator,business-generators,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
short-code-generator,Short Code Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
sigil-generator,Sigil Generator,creative-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
sitemap-generator,Sitemap Generator,seo-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
sith-name-generator,Sith Name Generator,gaming-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
spaceship-name-generator,Spaceship Name Generator,creative-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
sports-team-name-generator,Sports Team Name Generator,name-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
tattoo-name-generator,Tattoo Name Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
token-generator,Token Generator,developer-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
typewriter-text-generator,Typewriter Text Generator,text-font-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
ancient-greek-inspired-name-generator,Ancient Greek-Inspired Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
roman-inspired-character-name-generator,Roman-Inspired Character Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
ancient-egyptian-inspired-name-generator,Ancient Egyptian-Inspired Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
iupac-name-generator,IUPAC Name Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
victorian-name-generator,Victorian Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
racehorse-name-generator,Racehorse Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
emo-name-generator,Emo Name Generator,creative-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
poster-generator,Poster Generator,business-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
flyer-generator,Flyer Generator,business-generators,template,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
fantasy-map-generator,Fantasy Map Generator,gaming-generators,visual,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
papyrus-generator,Papyrus Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
serif-generator,Serif Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
