slug,tool_name,category,current_noindex_reason,premium_quality_status,content_quality_score,helpful_content_risk,risk_type,safe_to_index_now,safe_to_index_after_wording_cleanup,must_remain_noindex,required_wording_cleanup,required_disclaimer,recommended_index_decision,reason
ao3-tag-generator,AO3 Tag Generator,Creative & Story Generators,"Protected brand, franchise, platform, or third-party IP query surface.",premium_done,8,medium,brand_ip,no,yes,no,"Clarify third-party platform context; avoid affiliation, official status, scraping/spam, and rights claims.",Not affiliated with or endorsed by the named platform; user must respect platform rules and third-party rights.,keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
college-name-generator,College Name Generator,Creative & Story Generators,Conservative noindex hold despite low-risk creative or planning intent.,premium_done,8.7,medium,safe_low_risk,yes,no,no,none,Standard accuracy and user-verification note only.,index_now,"Low-risk, non-brand, non-legal, non-security intent; current premium/content quality is adequate for indexing with existing safe framing."
shipping-policy-generator,Shipping Policy Generator,SEO & Marketing Generators,"Template can be mistaken for legal, policy, commercial, or compliance advice.",premium_done,8,medium,legal_template,no,no,yes,Reframe as informational draft/checklist only; remove legal sufficiency language; add professional review and jurisdiction-specific verification language.,"Informational draft only, not legal advice; have a qualified professional review for jurisdiction, business model, and actual facts before use.",keep_noindex,Legal/policy/compliance template risk remains too high for indexing as a generator page.
content-calendar-generator,Content Calendar Generator,SEO & Marketing Generators,Conservative noindex hold despite low-risk creative or planning intent.,premium_done,7.9,medium,safe_low_risk,yes,no,no,none,Standard accuracy and user-verification note only.,index_now,"Low-risk, non-brand, non-legal, non-security intent; current premium/content quality is adequate for indexing with existing safe framing."
random-address-generator,Random Address Generator,Random Generators,"Fake identity, address, document, or deceptive record misuse risk.",premium_done,8,medium,fake_identity,no,no,yes,not recommended; identity/document/address misuse risk should stay noindex.,"Do not use for fraud, impersonation, evasion, fake records, account abuse, or deceptive identity claims.",keep_noindex,"Could support deceptive identity, fake address, fake document, or fraudulent record use."
fake-text-generator,Fake Text Generator,Other,"Fake identity, address, document, or deceptive record misuse risk.",premium_done,7.9,medium,fake_identity,no,no,yes,not recommended; identity/document/address misuse risk should stay noindex.,"Do not use for fraud, impersonation, evasion, fake records, account abuse, or deceptive identity claims.",keep_noindex,"Could support deceptive identity, fake address, fake document, or fraudulent record use."
fake-name-generator,Fake Name Generator,Utility Generators,"Fake identity, address, document, or deceptive record misuse risk.",premium_done,8.5,medium,fake_identity,no,no,yes,not recommended; identity/document/address misuse risk should stay noindex.,"Do not use for fraud, impersonation, evasion, fake records, account abuse, or deceptive identity claims.",keep_noindex,"Could support deceptive identity, fake address, fake document, or fraudulent record use."
pin-generator,PIN Generator,Utility Generators,Security-sensitive generator where production misuse or false safety assumptions are likely.,premium_done,8,medium,security_sensitive,no,no,yes,not recommended; security-sensitive generators should stay noindex even with disclaimers.,"Demo/browser-local formatting only; no production security guarantee, no cryptographic audit claim, and no promise of suitability for secrets.",keep_noindex,"Security-sensitive output can be misunderstood as production-safe secrets, keys, tokens, or credentials."
geo-tag-generator,Geo Tag Generator,Utility Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.3,medium,platform_abuse,no,no,yes,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex,Platform abuse/deception risk remains too high without a deeper rewrite.
art-tag-generator,Art Tag Generator,Utility Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.3,medium,platform_abuse,no,no,yes,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex,Platform abuse/deception risk remains too high without a deeper rewrite.
email-tag-generator,Email Tag Generator,Utility Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,9,medium,platform_abuse,no,no,yes,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex,Platform abuse/deception risk remains too high without a deeper rewrite.
demon-name-generator,Demon Name Generator,Gaming & Fantasy Generators,Conservative noindex hold despite low-risk creative or planning intent.,premium_done,8.3,medium,safe_low_risk,yes,no,no,none,Standard accuracy and user-verification note only.,index_now,"Low-risk, non-brand, non-legal, non-security intent; current premium/content quality is adequate for indexing with existing safe framing."
instagram-bio-generator,Instagram Bio Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.9,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
instagram-caption-generator,Instagram Caption Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.9,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
midjourney-prompt-generator,Midjourney Prompt Generator,AI Text & Writing Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.4,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
random-choice-generator,Random Choice Generator,Random Generators,Conservative noindex hold despite low-risk random utility intent.,premium_done,8.7,medium,random_utility,yes,no,no,none,"Low-stakes/casual decision helper only; not for gambling, legal fairness, compliance, security, medical, hiring, or financial decisions.",index_now,"Low-risk, non-brand, non-legal, non-security intent; current premium/content quality is adequate for indexing with existing safe framing."
facebook-post-generator,Facebook Post Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.6,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
stable-diffusion-prompt-generator,Stable Diffusion Prompt Generator,AI Text & Writing Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.4,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
wheel-spinner-generator,Wheel Spinner Generator,Random Generators,Conservative noindex hold despite low-risk random utility intent.,premium_done,8,medium,random_utility,yes,no,no,none,"Low-stakes/casual decision helper only; not for gambling, legal fairness, compliance, security, medical, hiring, or financial decisions.",index_now,"Low-risk, non-brand, non-legal, non-security intent; current premium/content quality is adequate for indexing with existing safe framing."
ransom-note-text-generator,Ransom Note Text Generator,Other,"Insult, harassment, threat, or abuse-adjacent humor risk.",premium_done,8.2,medium,humor_abuse,no,no,yes,not recommended while harassment/threat risk remains.,"Use only for consensual, light-hearted writing; do not target private people, protected classes, threats, harassment, or bullying.",keep_noindex,"Harassment, threat, or targeted abuse risk remains too high for indexed acquisition."
sith-name-generator,Sith Name Generator,Other,"Protected brand, franchise, platform, or third-party IP query surface.",premium_done,8,medium,brand_ip,no,no,yes,not recommended; protected IP intent should stay noindex.,"Protected IP/franchise/tool names should not imply affiliation, endorsement, ownership, or official status.",keep_noindex,Search intent is anchored in protected third-party IP or platform identity; indexing invites affiliation/confusion and rights risk.
twitter-bio-generator,Twitter/X Bio Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,9,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
tiktok-bio-generator,TikTok Bio Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.9,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
linkedin-bio-generator,LinkedIn Bio Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.9,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
youtube-name-generator,YouTube Channel Name Generator,Creative & Story Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.9,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
tiktok-name-generator,TikTok Name Generator,Creative & Story Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.5,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
instagram-name-generator,Instagram Name Generator,Creative & Story Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.5,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
twitter-name-generator,Twitter/X Name Generator,Creative & Story Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.5,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
linkedin-headline-generator,LinkedIn Headline Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.8,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
api-key-generator,API Key Generator,Developer & Web Generators,Security-sensitive generator where production misuse or false safety assumptions are likely.,premium_done,8.5,medium,security_sensitive,no,no,yes,not recommended; security-sensitive generators should stay noindex even with disclaimers.,"Demo/browser-local formatting only; no production security guarantee, no cryptographic audit claim, and no promise of suitability for secrets.",keep_noindex,"Security-sensitive output can be misunderstood as production-safe secrets, keys, tokens, or credentials."
youtube-description-generator,YouTube Description Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.9,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
tiktok-caption-generator,TikTok Caption Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.7,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
license-key-generator,License Key Generator,Developer & Web Generators,Security-sensitive generator where production misuse or false safety assumptions are likely.,premium_done,8.5,medium,security_sensitive,no,no,yes,not recommended; security-sensitive generators should stay noindex even with disclaimers.,"Demo/browser-local formatting only; no production security guarantee, no cryptographic audit claim, and no promise of suitability for secrets.",keep_noindex,"Security-sensitive output can be misunderstood as production-safe secrets, keys, tokens, or credentials."
recovery-code-generator,Recovery Code Generator,Developer & Web Generators,Security-sensitive generator where production misuse or false safety assumptions are likely.,premium_done,8.5,medium,security_sensitive,no,no,yes,not recommended; security-sensitive generators should stay noindex even with disclaimers.,"Demo/browser-local formatting only; no production security guarantee, no cryptographic audit claim, and no promise of suitability for secrets.",keep_noindex,"Security-sensitive output can be misunderstood as production-safe secrets, keys, tokens, or credentials."
invoice-generator,Invoice Generator,Business & Brand Generators,"Fake identity, address, document, or deceptive record misuse risk.",premium_done,8.9,medium,fake_identity,no,no,yes,not recommended; identity/document/address misuse risk should stay noindex.,"Do not use for fraud, impersonation, evasion, fake records, account abuse, or deceptive identity claims.",keep_noindex,"Could support deceptive identity, fake address, fake document, or fraudulent record use."
meeting-agenda-generator,Meeting Agenda Generator,Business & Brand Generators,Conservative noindex hold despite low-risk creative or planning intent.,premium_done,8.7,medium,safe_low_risk,yes,no,no,none,Standard accuracy and user-verification note only.,index_now,"Low-risk, non-brand, non-legal, non-security intent; current premium/content quality is adequate for indexing with existing safe framing."
linkedin-post-generator,LinkedIn Post Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.8,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
x-post-generator,X/Twitter Post Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.8,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
jwt-generator,JWT Token Generator,Developer & Web Generators,Security-sensitive generator where production misuse or false safety assumptions are likely.,premium_done,8.5,medium,security_sensitive,no,no,yes,not recommended; security-sensitive generators should stay noindex even with disclaimers.,"Demo/browser-local formatting only; no production security guarantee, no cryptographic audit claim, and no promise of suitability for secrets.",keep_noindex,"Security-sensitive output can be misunderstood as production-safe secrets, keys, tokens, or credentials."
amazon-listing-generator,Amazon Listing Generator,Business & Brand Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.9,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
etsy-listing-generator,Etsy Listing Generator,Business & Brand Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.9,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
youtube-hook-generator,YouTube Hook Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.6,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
linkedin-summary-generator,LinkedIn Summary Generator,Bio & Caption Generators,"Platform, marketplace, prompt, social, spam, deceptive engagement, or affiliation risk.",premium_done,8.9,medium,platform_abuse,no,yes,no,"Remove affiliation/ranking/growth implications; add anti-spam, no impersonation, no evasion, no deceptive engagement, no fake review/performance wording.","Drafting/organization help only; no platform affiliation, no spam, no evasion, no impersonation, no fake engagement, and verify each platform or marketplace policy before publishing.",keep_noindex_until_cleanup_then_index,"Potentially indexable after stronger user-facing safety language because the core task is drafting, planning, tagging, or prompt assistance rather than inherently prohibited misuse."
receipt-generator,Receipt Generator,Business & Brand Generators,"Fake identity, address, document, or deceptive record misuse risk.",premium_done,8.9,medium,fake_identity,no,no,yes,not recommended; identity/document/address misuse risk should stay noindex.,"Do not use for fraud, impersonation, evasion, fake records, account abuse, or deceptive identity claims.",keep_noindex,"Could support deceptive identity, fake address, fake document, or fraudulent record use."
