row_type,batch,slug,final_verdict,robots,googlebot,merge_redirect_recommended,merge_redirect_target,final_reason
summary,all,,complete,,,false,,"All 42 rendered noindex tools have final outcomes recorded across Batch 1-4 artifacts; no tools were approved for indexing."
summary,all,,approved_for_indexing_count,0,,false,,"No tools approved for indexing."
summary,all,,rendered_noindex_confirmation,42,42,false,,"All 42 reviewed generated pages render robots and googlebot noindex, follow."
summary,all,,primary_merge_or_redirect_candidate_count,2,,true,,"2 tools have merge_or_redirect_candidate as the primary final verdict: ao3-tag-generator and roblox-username-generator."
summary,all,,merge_redirect_cleanup_recommended_count,20,,true,,"Cleanup is recommended for 20 tools total, including platform hashtag overlaps, AO3 tag overlap, protected brand/IP name/text pages, and roblox-username-generator."
summary,all,,permanent_keep_noindex_primary_count,40,,false,,"40 tools have a primary final keep-noindex verdict; some also have optional merge/redirect or canonical cleanup targets."
tool,batch_1,contract-generator,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow",false,,"Still a legal contract outline; users may rely on generated clauses for enforceability, liability, payment, IP, jurisdiction, compliance, or professional-review replacement."
tool,batch_1,nda-generator,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow",false,,"Still a confidentiality/legal agreement outline; users may rely on confidentiality scope, exclusions, remedies, term, jurisdiction, or enforceability."
tool,batch_1,service-agreement-generator,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow",false,,"Still a service contract outline involving payment, deliverables, IP, confidentiality, liability, termination, governing law, and local service rules."
tool,batch_1,invoice-generator,final_keep_noindex_fake_identity_or_document,"noindex, follow","noindex, follow",false,,"Official-record, accounting, tax, debt, payment, and payment-proof risk."
tool,batch_1,receipt-generator,final_keep_noindex_fake_identity_or_document,"noindex, follow","noindex, follow",false,,"Official-record, accounting, tax, proof-of-payment, and payment-proof risk."
tool,batch_1,random-address-generator,final_keep_noindex_fake_identity_or_document,"noindex, follow","noindex, follow",false,,"Fake identity/location risk; can enable deception, false records, account abuse, fraud, or evasion."
tool,batch_1,fake-name-generator,final_keep_noindex_fake_identity_or_document,"noindex, follow","noindex, follow",false,,"Fake identity risk; can enable impersonation, synthetic identity misuse, account abuse, or deceptive records."
tool,batch_1,pin-generator,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow",false,,"Security credential risk; PIN-like secrets are credential-adjacent and high-stakes."
tool,batch_1,api-key-generator,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow",false,,"Security credential risk; API-key-like output can be confused with production secrets or access material."
tool,batch_1,password-generator,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow",false,,"Security credential risk; password generation is high-stakes and can be mistaken for audited production security."
tool,batch_2,license-key-generator,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow",false,,"License-key-like output can be confused with entitlement, activation, piracy, or access material."
tool,batch_2,recovery-code-generator,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow",false,,"Recovery-code-like output is account-security sensitive and can be mistaken for real backup credentials."
tool,batch_2,jwt-generator,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow",false,,"JWT-like output is auth/security sensitive and can be confused with production token material."
tool,batch_2,token-generator,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow",false,,"Token-like output is credential-adjacent and high-stakes even with demo-safe framing."
tool,batch_2,dmca-policy-generator,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow",false,,"Copyright/DMCA workflow content is legal-process sensitive and can be mistaken for qualified copyright, takedown, counter-notice, safe-harbor, or jurisdiction-specific guidance."
tool,batch_2,privacy-policy-generator,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow",false,,"Privacy notice generation is privacy-law and compliance sensitive, with GDPR/CCPA/CPRA/PIPEDA, data-practice, jurisdiction, and regulatory-reliance risk."
tool,batch_2,terms-generator,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow",false,,"Terms generation is enforceability, consumer-rights, subscription, jurisdiction, liability, and legal-reliance sensitive."
tool,batch_2,ransom-note-text-generator,final_keep_noindex_harassment_or_threat,"noindex, follow","noindex, follow",false,,"Threat-adjacent typography can support intimidation, coercion, extortion aesthetics, or harassment."
tool,batch_2,shakespeare-insult-generator,final_keep_noindex_harassment_or_threat,"noindex, follow","noindex, follow",false,,"Insult/banter tooling remains harassment, bullying, hate, threat, doxxing, and humiliation sensitive despite safer framing."
tool,batch_2,comeback-generator,final_keep_noindex_harassment_or_threat,"noindex, follow","noindex, follow",false,,"Comeback tooling remains escalation, harassment, bullying, and targeted-abuse sensitive despite safer framing."
tool,batch_3,roast-generator,final_keep_noindex_harassment_or_threat,"noindex, follow","noindex, follow",false,,"Roast tooling remains bullying, humiliation, harassment, and targeted-abuse sensitive despite safer framing."
tool,batch_3,x-post-generator,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",false,,"Platform post generation remains spam, misinformation, harassment, affiliate/ad, deceptive engagement, and reach/performance-risk sensitive."
tool,batch_3,instagram-hashtag-generator,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",true,"/tools/hashtag-generator/","Platform hashtag generation remains spam, reach/ranking, banned-tag, platform-affiliation, and deceptive engagement sensitive; overlaps broader hashtag generator."
tool,batch_3,tiktok-hashtag-generator,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",true,"/tools/hashtag-generator/","Platform hashtag generation remains trend-abuse, spam, reach/ranking, monetization-claim, and deceptive engagement sensitive; overlaps broader hashtag generator."
tool,batch_3,facebook-hashtag-generator,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",true,"/tools/hashtag-generator/","Platform hashtag generation remains platform/spam/reach-abuse sensitive and lacks approval-to-index evidence; overlaps broader hashtag generator."
tool,batch_3,ao3-tag-generator,merge_or_redirect_candidate,"noindex, follow","noindex, follow",true,"TBD generic tag or fan-writing target","AO3/platform/fandom tag tooling is brand/platform/fandom adjacent and can imply unofficial affiliation, metadata abuse, or archive discoverability signals."
tool,batch_3,sith-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/villain-name-generator/","Protected franchise/IP name tool with unofficial affiliation and brand-signal risk."
tool,batch_3,star-wars-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/scifi-name-generator/","Protected franchise/IP name tool with unofficial affiliation risk."
tool,batch_3,star-wars-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected franchise/IP text-style tool with unofficial affiliation risk."
tool,batch_3,dark-souls-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected game/IP text-style tool with unofficial affiliation risk."
tool,batch_4,spongebob-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected character/franchise/IP text-style tool with unofficial affiliation and brand-signal risk."
tool,batch_4,undertale-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected game/IP text-style tool with unofficial affiliation risk."
tool,batch_4,pokemon-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected franchise/IP text-style tool with unofficial affiliation risk."
tool,batch_4,minecraft-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected game/IP text-style tool with unofficial affiliation risk."
tool,batch_4,roblox-username-generator,merge_or_redirect_candidate,"noindex, follow","noindex, follow",true,"/tools/username-generator/","Brand/platform/IP username tool has availability, impersonation, account-abuse, platform-rule, and duplicate-overlap risk with the broader username generator."
tool,batch_4,roblox-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/gaming-name-generator/","Brand/platform/IP name tool with account, availability, impersonation, and platform-rule risks."
tool,batch_4,fortnite-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/gaming-name-generator/","Brand/platform/IP name tool with account, availability, and unofficial affiliation risks."
tool,batch_4,minecraft-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/gaming-name-generator/","Protected game/platform name tool with unofficial affiliation risk."
tool,batch_4,valorant-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/gaming-name-generator/","Protected game/platform name tool with unofficial affiliation risk."
tool,batch_4,league-of-legends-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/gaming-name-generator/","Protected game/platform name tool with unofficial affiliation risk."
tool,batch_4,harry-potter-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/wizard-name-generator/","Protected franchise/IP name tool with unofficial affiliation risk."
tool,batch_4,pokemon-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fantasy-name-generator/","Protected franchise/IP name tool with unofficial affiliation risk."
