slug,classification,primary_risk,actual_tool_quality,premium_input_driven,seo_content_quality,duplicate_overlap_risk,adsense_adx_safety,legal_med_fin_sec_risk,fake_identity_document_risk,harassment_threat_spam_risk,brand_ip_platform_ai_risk,rationale,next_action,top_upgrade_candidate_rank
ao3-tag-generator,keep_noindex_risky,brand_ip_platform_dependency,hardened but brand-dependent,yes,specific,medium,high risk,low,low,low,high,"Archive/fandom tag intent is platform and fandom dependent with IP/community policy concerns.","Do not touch for indexing; keep noindex.", 
shipping-policy-generator,premium_upgrade_candidate,legal_compliance_template,moderate draft utility,yes,specific,medium,medium,high,low,low,low,"Operational policy drafting can be useful if framed as draft-only with jurisdiction/business-model review; current category remains legal/compliance sensitive.","Possible future premium upgrade with stronger draft-only workflow and professional-review gating.",2
random-address-generator,keep_noindex_risky,fake_identity_document,moderate sample output,yes,specific,medium,high risk,medium,high,low,low,"Address generation is fake identity/document adjacent and can be misused for account abuse, evasion, or deceptive records.","Do not touch except to maintain safety/noindex.", 
fake-text-generator,premium_upgrade_candidate,fake_or_placeholder_content,hardened sample-placeholder framing,yes,specific,medium,medium,low,medium,low,low,"Renamed/framed as sample placeholder text and can be upgraded toward benign mockup/test-data use, but fake-text wording still requires caution.","Safest next upgrade candidate if fake/deceptive framing is further reduced.",1
fake-name-generator,keep_noindex_risky,fake_identity_document,moderate sample output,yes,specific,medium,high risk,medium,high,low,low,"Fake-name generation remains identity-style sample data with impersonation, fraud, and account-abuse risk.","Do not touch for indexing; keep noindex.", 
pin-generator,keep_noindex_risky,security_credential,moderate demo output,yes,specific,low,high risk,high,low,low,low,"PIN generation is credential/security adjacent even with demo framing.","Do not touch for indexing; keep noindex.", 
midjourney-prompt-generator,needs_deeper_policy_review,ai_image_ip_likeness,moderate prompt utility,yes,specific,high,medium,low,low,low,high,"AI image prompting has style/IP/likeness and platform-dependency risk; needs a deeper prompt policy review before any upgrade or indexing decision.","Policy review before touching.", 
stable-diffusion-prompt-generator,needs_deeper_policy_review,ai_image_ip_likeness,moderate prompt utility,yes,specific,high,medium,low,low,low,high,"AI image prompting can implicate protected likeness, artist-style, and unsafe visual content concerns.","Policy review before touching.", 
ransom-note-text-generator,keep_noindex_risky,threat_adjacent_text,limited novelty utility,yes,specific,medium,high risk,low,low,high,low,"The core intent is threat-adjacent even if framed as decorative typography.","Do not touch except safety/noindex maintenance.", 
sith-name-generator,keep_noindex_risky,brand_ip_fandom,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Fictional dark-fantasy naming is tightly associated with a protected franchise term.","Do not touch for indexing; keep noindex.", 
api-key-generator,keep_noindex_risky,security_credential,hardened demo formatting,yes,specific,medium,high risk,high,low,low,low,"API key generation is credential-like even when demo/sample framed.","Do not touch for indexing; keep noindex.", 
license-key-generator,keep_noindex_risky,security_or_software_key,hardened demo formatting,yes,specific,medium,high risk,high,low,low,low,"License-key generation can imply evasion, unauthorized access, or fake activation keys.","Do not touch for indexing; keep noindex.", 
recovery-code-generator,keep_noindex_risky,security_credential,hardened demo formatting,yes,specific,medium,high risk,high,low,low,low,"Recovery codes are account-security credentials and should not be promoted for indexing.","Do not touch for indexing; keep noindex.", 
invoice-generator,needs_deeper_policy_review,fake_document_financial_record,moderate draft utility,yes,specific,medium,high risk,high,high,low,low,"Invoice drafts can be useful, but fake billing/financial-record misuse risk is material.","Deeper document/fraud policy review before upgrade or indexing.",9
x-post-generator,already_hardened_but_hold,platform_spam_dependency,premium upgraded,yes,specific,medium,medium,low,low,medium,high,"Recently upgraded and input-driven, but final audit held it because X/Twitter post generation remains platform-dependent and potentially spam/engagement-adjacent.","Hold noindex; do not index without stricter social-platform review.", 
jwt-generator,keep_noindex_risky,security_credential_or_token,moderate demo utility,yes,specific,medium,high risk,high,low,low,low,"JWT generation is security/authentication adjacent and can be confused with production credentials.","Do not touch for indexing; keep noindex.", 
receipt-generator,needs_deeper_policy_review,fake_document_financial_record,moderate sample utility,yes,thin to moderate,medium,high risk,high,high,low,low,"Receipt generation is document/financial-record adjacent and can enable fake proof-of-purchase misuse.","Deeper document/fraud policy review before touching.",10
star-wars-name-generator,keep_noindex_risky,brand_ip_fandom,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Protected franchise naming intent creates IP and affiliation risk.","Do not touch for indexing; keep noindex.", 
roblox-name-generator,keep_noindex_risky,brand_ip_platform,hardened but platform-dependent,yes,specific,high,high risk,low,low,medium,high,"Platform-branded naming/identity intent creates brand, username, and platform dependency risk.","Do not touch for indexing; keep noindex.", 
harry-potter-name-generator,keep_noindex_risky,brand_ip_fandom,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Protected franchise naming intent creates IP and affiliation risk.","Do not touch for indexing; keep noindex.", 
pokemon-name-generator,keep_noindex_risky,brand_ip_fandom,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Protected franchise naming intent creates IP and affiliation risk.","Do not touch for indexing; keep noindex.", 
fortnite-name-generator,keep_noindex_risky,brand_ip_platform,hardened but platform-dependent,yes,specific,high,high risk,low,low,medium,high,"Game/platform-branded naming intent creates IP, platform, and username risk.","Do not touch for indexing; keep noindex.", 
minecraft-name-generator,keep_noindex_risky,brand_ip_platform,hardened but platform-dependent,yes,specific,high,high risk,low,low,medium,high,"Game/platform-branded naming intent creates IP, platform, and username risk.","Do not touch for indexing; keep noindex.", 
valorant-name-generator,keep_noindex_risky,brand_ip_platform,hardened but platform-dependent,yes,specific,high,high risk,low,low,medium,high,"Game/platform-branded naming intent creates IP, platform, and username risk.","Do not touch for indexing; keep noindex.", 
league-of-legends-name-generator,keep_noindex_risky,brand_ip_platform,hardened but platform-dependent,yes,specific,high,high risk,low,low,medium,high,"Game/platform-branded naming intent creates IP, platform, and username risk.","Do not touch for indexing; keep noindex.", 
minecraft-text-generator,keep_noindex_risky,brand_ip_style,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Text style is tied to a protected game brand and may imply affiliation or style copying.","Do not touch for indexing; keep noindex.", 
dark-souls-text-generator,keep_noindex_risky,brand_ip_style,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Text/message style is tied to a protected game brand and fandom convention.","Do not touch for indexing; keep noindex.", 
star-wars-text-generator,keep_noindex_risky,brand_ip_style,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Text style is tied to a protected franchise and may imply official/fandom IP use.","Do not touch for indexing; keep noindex.", 
spongebob-text-generator,keep_noindex_risky,brand_ip_style,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Text style depends on a protected character/franchise reference.","Do not touch for indexing; keep noindex.", 
undertale-text-generator,keep_noindex_risky,brand_ip_style,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Text style is tied to a protected game/fandom context.","Do not touch for indexing; keep noindex.", 
pokemon-text-generator,keep_noindex_risky,brand_ip_style,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Text style is tied to a protected franchise and may imply official/fandom IP use.","Do not touch for indexing; keep noindex.", 
roblox-username-generator,keep_noindex_risky,brand_ip_platform_identity,moderate username utility,yes,thin to moderate,high,high risk,low,low,medium,high,"Platform username generation is identity/platform dependent and overlaps generic username tools.","Do not touch for indexing; keep noindex.", 
acceptable-use-policy-generator,needs_deeper_policy_review,legal_compliance_template,moderate draft utility,yes,specific,medium,medium,high,low,low,low,"AUP content is compliance/legal-adjacent and needs jurisdiction/business-model review to avoid legal reliance.","Policy review before upgrade or indexing.", 
contract-generator,needs_deeper_policy_review,legal_template,moderate draft utility,yes,specific,medium,high risk,high,low,low,low,"Contracts are legal documents; draft-only language is not enough for indexing without deeper legal-risk review.","Policy review before touching.", 
dalle-prompt-generator,needs_deeper_policy_review,ai_image_ip_likeness,moderate prompt utility,yes,specific,high,medium,low,low,low,high,"AI image prompting includes protected style/likeness/IP risks and brand/platform naming.","Policy review before touching.", 
dmca-policy-generator,needs_deeper_policy_review,legal_compliance_template,moderate draft utility,yes,specific,medium,high risk,high,low,low,low,"DMCA policy content is legal/compliance-specific and could be misleading without professional review.","Policy review before touching.", 
purchase-order-generator,premium_upgrade_candidate,business_document_draft,moderate draft utility,yes,specific,medium,medium,medium,medium,low,low,"Purchase orders are business documents; less consumer-facing legal risk than contracts if kept draft-only with review and anti-fake-record guidance.","Potential premium upgrade with strict draft/sample-only framing.",3
quotation-generator,premium_upgrade_candidate,business_document_draft,moderate draft utility,yes,specific,medium,medium,medium,medium,low,low,"Quotation drafts can be useful for benign business workflows if estimates, terms, and review notes are explicit.","Potential premium upgrade with review checklist and no legal/financial guarantee.",4
return-policy-generator,premium_upgrade_candidate,legal_compliance_template,moderate draft utility,yes,specific,medium,medium,high,low,low,low,"Return policy drafting is compliance-adjacent but can be upgraded as informational draft-only with clear business-practice inputs and review warnings.","Possible premium upgrade only with strong draft-only and professional-review language.",5
password-generator,keep_noindex_risky,security_credential,hardened utility,yes,specific,low,high risk,high,low,low,low,"Password generation is security-sensitive and should remain noindex despite practical utility.","Do not touch for indexing; keep noindex.", 
instagram-hashtag-generator,already_hardened_but_hold,platform_spam_dependency,premium upgraded,yes,specific,medium,medium,low,low,high,high,"Recently upgraded and input-driven, but hashtag generation remains platform/spam/reach-adjacent.","Hold noindex; no indexing without platform/spam review.", 
tiktok-hashtag-generator,already_hardened_but_hold,platform_spam_dependency,premium upgraded,yes,specific,medium,medium,low,low,high,high,"Recently upgraded and input-driven, but TikTok hashtag generation remains viral/reach/platform-adjacent.","Hold noindex; no indexing without platform/spam review.", 
shakespeare-insult-generator,keep_noindex_risky,harassment_insult,moderate humor utility,yes,specific,medium,high risk,low,low,high,low,"Insult generation is harassment-adjacent even with friendly/consensual framing.","Do not touch for indexing; keep noindex.", 
facebook-hashtag-generator,needs_merge_or_canonical,duplicate_platform_spam,moderate tag utility,yes,specific,high,medium,low,low,high,high,"Overlaps generic hashtag and platform tag tools, while still platform/spam-adjacent.","Decide merge/canonical/noindex rather than upgrading standalone.", 
comeback-generator,keep_noindex_risky,harassment_or_conflict,moderate humor utility,yes,specific,medium,high risk,low,low,high,low,"Comebacks can easily become targeted harassment or conflict escalation.","Do not touch for indexing; keep noindex.", 
privacy-policy-generator,needs_deeper_policy_review,legal_compliance_template,hardened draft utility,yes,specific,medium,high risk,high,low,low,low,"Privacy policies are legal/compliance documents requiring jurisdiction and business-practice review.","Policy review before touching.", 
terms-generator,needs_deeper_policy_review,legal_compliance_template,hardened draft utility,yes,specific,medium,high risk,high,low,low,low,"Terms and conditions are legal documents with high reliance risk.","Policy review before touching.", 
cookie-policy-generator,needs_deeper_policy_review,legal_compliance_template,hardened draft utility,yes,specific,medium,high risk,high,low,low,low,"Cookie policies are privacy/compliance documents tied to jurisdiction and actual tracking practices.","Policy review before touching.", 
disclaimer-generator,needs_deeper_policy_review,legal_compliance_template,hardened draft utility,yes,specific,medium,high risk,high,low,low,low,"Disclaimers can create legal-reliance and compliance risk if indexed as a generator.","Policy review before touching.",8
refund-policy-generator,needs_deeper_policy_review,legal_compliance_template,hardened draft utility,yes,specific,medium,medium,high,low,low,low,"Refund policy drafting is business-useful but compliance-sensitive and must match actual practices.","Policy review before upgrade/indexing.",6
affiliate-disclosure-generator,needs_deeper_policy_review,legal_compliance_template,hardened draft utility,yes,specific,medium,medium,high,low,low,low,"Affiliate disclosures are advertising/compliance regulated and need careful jurisdiction/platform review.","Policy review before upgrade/indexing.",7
roast-generator,keep_noindex_risky,harassment_insult,moderate humor utility,yes,specific,medium,high risk,low,low,high,low,"Roast generation is harassment/humiliation-adjacent even with friendly framing.","Do not touch for indexing; keep noindex.", 
tiktok-username-generator,needs_merge_or_canonical,platform_identity_duplicate,moderate username utility,yes,thin to moderate,high,medium,low,low,medium,high,"Overlaps generic username/name tools and remains platform/availability dependent.","Merge/canonical decision before any upgrade.", 
nda-generator,needs_deeper_policy_review,legal_template,moderate draft utility,yes,thin to moderate,medium,high risk,high,low,low,low,"NDAs are legal agreements and should not be indexed without deeper legal-risk review.","Policy review before touching.", 
service-agreement-generator,needs_deeper_policy_review,legal_template,moderate draft utility,yes,specific,medium,high risk,high,low,low,low,"Service agreements are legal/commercial contracts with high reliance risk.","Policy review before touching.", 
token-generator,keep_noindex_risky,security_credential,hardened demo utility,yes,specific,medium,high risk,high,low,low,low,"Token generation is credential/security adjacent even with browser-local/demo framing.","Do not touch for indexing; keep noindex.", 
