proposed_tool_name,proposed_slug,primary_keyword,keywords_covered,final_decision,merge_into_existing_slug,add_as_mode_to_slug,risk_level,index_priority,reason
"British Name Generator","british-name-generator","british name generator","british name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Funniest Name Generator","funniest-name-generator","funniest name generator","funniest name generator","ADD_AS_MODE_OR_OPTION","","name-generator","low","medium","Adjective modifier on existing tool"
"Halfling Name Generator","halfling-name-generator","halfling name generator","halfling name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Xbox Profile Name Generator","xbox-profile-name-generator","xbox profile name generator","xbox profile name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Argonian Name Generator","argonian-name-generator","argonian name generator","argonian name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Breton Name Generator","breton-name-generator","breton name generator","breton name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Guy Name Generator","guy-name-generator","guy name generator","guy name generator","ADD_AS_MODE_OR_OPTION","","baby-name-generator","low","medium","Gender modifier"
"Nord Name Generator","nord-name-generator","nord name generator","nord name generator | skyrim nord name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Twilek Name Generator","twilek-name-generator","twilek name generator","twilek name generator","ADD_AS_MODE_OR_OPTION","","star-wars-name-generator","low","medium","Star Wars franchise mode"
"Dunmer Name Generator","dunmer-name-generator","dunmer name generator","dunmer name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Githyanki Name Generator","githyanki-name-generator","githyanki name generator","githyanki name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Catchy Name Generator","catchy-name-generator","catchy name generator","catchy name generator","ADD_AS_MODE_OR_OPTION","","pet-name-generator","low","medium","Pet mode"
"Druid Name Generator","druid-name-generator","druid name generator","druid name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Elder Scrolls Name Generator","elder-scrolls-name-generator","elder scrolls name generator","elder scrolls name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Game Of Thrones Name Generator","game-of-thrones-name-generator","game of thrones name generator","game of thrones name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Pubg Name Generator","pubg-name-generator","pubg name generator","pubg name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Scottish Name Generator","scottish-name-generator","scottish name generator","scottish name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Tabaxi Name Generator","tabaxi-name-generator","tabaxi name generator","tabaxi name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Aasimar Name Generator","aasimar-name-generator","aasimar name generator","aasimar name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Arabic Name Generator","arabic-name-generator","arabic name generator","arabic name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Code Name Generator","code-name-generator","code name generator","code name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Goliath Name Generator","goliath-name-generator","goliath name generator","goliath name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Hobbit Name Generator","hobbit-name-generator","hobbit name generator","hobbit name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Latin Name Generator","latin-name-generator","latin name generator","latin name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Redguard Name Generator","redguard-name-generator","redguard name generator","redguard name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Irish Name Generator","irish-name-generator","irish name generator","irish name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Kobold Name Generator","kobold-name-generator","kobold name generator","kobold name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Paladin Name Generator","paladin-name-generator","paladin name generator","paladin name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Pet Name Generator Dog","pet-name-generator-dog","pet name generator dog","pet name generator dog","ADD_AS_MODE_OR_OPTION","","pet-name-generator","low","medium","Pet mode"
"Altmer Name Generator","altmer-name-generator","altmer name generator","altmer name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Bosmer Name Generator","bosmer-name-generator","bosmer name generator","bosmer name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Hawaiian Name Generator","hawaiian-name-generator","hawaiian name generator","hawaiian name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Hunger Games Name Generator","hunger-games-name-generator","hunger games name generator","hunger games name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Rpg Name Generator","rpg-name-generator","rpg name generator","rpg name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Stylish Name Generator","stylish-name-generator","stylish name generator","stylish name generator","ADD_AS_MODE_OR_OPTION","","name-generator","low","medium","Adjective modifier on existing tool"
"Women Name Generator","women-name-generator","women name generator","women name generator","ADD_AS_MODE_OR_OPTION","","baby-name-generator","low","medium","Gender modifier"
"Cod Name Generator","cod-name-generator","cod name generator","cod name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Location Name Generator","location-name-generator","location name generator","location name generator","ADD_AS_MODE_OR_OPTION","","pet-name-generator","low","medium","Pet mode"
"Mexican Name Generator","mexican-name-generator","mexican name generator","mexican name generator | mexican name generator boy","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Polish Name Generator","polish-name-generator","polish name generator","polish name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Weird Name Generator","weird-name-generator","weird name generator","weird name generator","ADD_AS_MODE_OR_OPTION","","name-generator","low","medium","Adjective modifier on existing tool"
"Xbox Gamer Name Generator","xbox-gamer-name-generator","xbox gamer name generator","xbox gamer name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Xbox Screen Name Generator","xbox-screen-name-generator","xbox screen name generator","xbox screen name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Agency Name Generator","agency-name-generator","agency name generator","agency name generator","ADD_AS_MODE_OR_OPTION","","business-name-generator","low","medium","Business category mode"
"Clone Trooper Name Generator","clone-trooper-name-generator","clone trooper name generator","clone trooper name generator","ADD_AS_MODE_OR_OPTION","","star-wars-name-generator","low","medium","Star Wars franchise mode"
"Cool Psn Names Generator","cool-psn-names-generator","cool psn names generator","cool psn names generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Adjective modifier on name generator"
"Goofy Name Generator","goofy-name-generator","goofy name generator","goofy name generator","ADD_AS_MODE_OR_OPTION","","name-generator","low","medium","Adjective modifier on existing tool"
"Necromancer Name Generator","necromancer-name-generator","necromancer name generator","necromancer name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Drow Name Generator","drow-name-generator","drow name generator","drow name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Khajiit Name Generator","khajiit-name-generator","khajiit name generator","khajiit name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Last Name Generator Fantasy","last-name-generator-fantasy","last name generator fantasy","last name generator fantasy","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Fantasy Name Generator Dnd","fantasy-name-generator-dnd","fantasy name generator dnd","fantasy name generator dnd","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Half Elf Name Generator","half-elf-name-generator","half elf name generator","half elf name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Fantasy Name Generator Female","fantasy-name-generator-female","fantasy name generator female","fantasy name generator female","ADD_AS_MODE_OR_OPTION","","baby-name-generator","low","medium","Gender modifier"
"Elf Name Generator Dnd","elf-name-generator-dnd","elf name generator dnd","elf name generator dnd","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Family Name Generator Fantasy","family-name-generator-fantasy","family name generator fantasy","family name generator fantasy","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Kingdom Name Generator Fantasy","kingdom-name-generator-fantasy","kingdom name generator fantasy","kingdom name generator fantasy","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Blood Elf Name Generator","blood-elf-name-generator","blood elf name generator","blood elf name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Town Name Generator Fantasy","town-name-generator-fantasy","town name generator fantasy","town name generator fantasy","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"City Name Generator Fantasy","city-name-generator-fantasy","city name generator fantasy","city name generator fantasy","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Star Wars Last Name Generator","star-wars-last-name-generator","star wars last name generator","star wars last name generator","ADD_AS_MODE_OR_OPTION","","star-wars-name-generator","low","medium","Star Wars franchise mode"
"Character Name Generator Fantasy","character-name-generator-fantasy","character name generator fantasy","character name generator fantasy","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Country Name Generator Fantasy","country-name-generator-fantasy","country name generator fantasy","country name generator fantasy","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Motorcycle Club Name Generator","motorcycle-club-name-generator","motorcycle club name generator","motorcycle club name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Night Elf Name Generator","night-elf-name-generator","night elf name generator","night elf name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Alien Name Generator Girl","alien-name-generator-girl","alien name generator girl","alien name generator girl","ADD_AS_MODE_OR_OPTION","","baby-name-generator","low","medium","Gender modifier"
"Christmas Elf Name Generator","christmas-elf-name-generator","christmas elf name generator","christmas elf name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Fantasy Name Generator Elf","fantasy-name-generator-elf","fantasy name generator elf","fantasy name generator elf","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"High Elf Name Generator","high-elf-name-generator","high elf name generator","high elf name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Chinese Name Generator Male","chinese-name-generator-male","chinese name generator male","chinese name generator male","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Name Generator Japanese Clan","name-generator-japanese-clan","name generator japanese clan","name generator japanese clan","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Korean Name Generator Male","korean-name-generator-male","korean name generator male","korean name generator male","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"French Name Generator Male","french-name-generator-male","french name generator male","french name generator male","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Russian Name Generator Male","russian-name-generator-male","russian name generator male","russian name generator male","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Italian Name Generator Male","italian-name-generator-male","italian name generator male","italian name generator male","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Chinese Name Generator Female","chinese-name-generator-female","chinese name generator female","chinese name generator female","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Germanic Name Generator","germanic-name-generator","germanic name generator","germanic name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Korean Name Generator Female","korean-name-generator-female","korean name generator female","korean name generator female","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Llc Name Generator","llc-name-generator","llc name generator","llc name generator","ADD_AS_MODE_OR_OPTION","","business-name-generator","low","medium","Business category mode"
"Clothing Brand Name Generator","clothing-brand-name-generator","clothing brand name generator","clothing brand name generator","ADD_AS_MODE_OR_OPTION","","business-name-generator","low","medium","Business category mode"
"Small Business Name Generator","small-business-name-generator","small business name generator","small business name generator","ADD_AS_MODE_OR_OPTION","","business-name-generator","low","medium","Business category mode"
"Brand Name Generator For Clothing","brand-name-generator-for-clothing","brand name generator for clothing","brand name generator for clothing","ADD_AS_MODE_OR_OPTION","","business-name-generator","low","medium","Business category mode"
"Etsy Store Name Generator","etsy-store-name-generator","etsy store name generator","etsy store name generator","ADD_AS_MODE_OR_OPTION","","business-name-generator","low","medium","Business category mode"
"Band Name Generator Kpop","band-name-generator-kpop","band name generator kpop","band name generator kpop","ADD_AS_MODE_OR_OPTION","","band-name-generator","low","medium","Music artist mode"
"Heavy Metal Band Name Generator","heavy-metal-band-name-generator","heavy metal band name generator","heavy metal band name generator","ADD_AS_MODE_OR_OPTION","","band-name-generator","low","medium","Music artist mode"
"Kpop Band Name Generator","kpop-band-name-generator","kpop band name generator","kpop band name generator","ADD_AS_MODE_OR_OPTION","","band-name-generator","low","medium","Music artist mode"
"Twitch Tv Name Generator","twitch-tv-name-generator","twitch tv name generator","twitch tv name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Clever Gamertags Generator","clever-gamertags-generator","clever gamertags generator","clever gamertags generator","ADD_AS_MODE_OR_OPTION","","fancy-text-generator","low","medium","Adjective modifier on text generator"
"Playstation Name Generator","playstation-name-generator","playstation name generator","playstation name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Clever Nickname Generator","clever-nickname-generator","clever nickname generator","clever nickname generator","ADD_AS_MODE_OR_OPTION","","nickname-generator","low","medium","Adjective modifier on existing tool"
"Game Nickname Generator","game-nickname-generator","game nickname generator","game nickname generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Gamer Tag Name Generator","gamer-tag-name-generator","gamer tag name generator","gamer tag name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Random Soccer Player Generator","random-soccer-player-generator","random soccer player generator","random soccer player generator","ADD_AS_MODE_OR_OPTION","","fancy-text-generator","low","medium","Adjective modifier on text generator"
"Random Characters Generator","random-characters-generator","random characters generator","random characters generator","ADD_AS_MODE_OR_OPTION","","fancy-text-generator","low","medium","Adjective modifier on text generator"
"Darth Lord Name Generator","darth-lord-name-generator","darth lord name generator","darth lord name generator","ADD_AS_MODE_OR_OPTION","","star-wars-name-generator","low","medium","Star Wars franchise mode"
"Music Artist Name Generator","music-artist-name-generator","music artist name generator","music artist name generator","ADD_AS_MODE_OR_OPTION","","band-name-generator","low","medium","Music artist mode"
"Artificial Intelligence Business Name Generator","artificial-intelligence-business-name-generator","artificial intelligence business name generator","artificial intelligence business name generator","ADD_AS_MODE_OR_OPTION","","business-name-generator","low","medium","Business category mode"
"Business Name Generator With Logo","business-name-generator-with-logo","business name generator with logo","business name generator with logo","ADD_AS_MODE_OR_OPTION","","business-name-generator","low","medium","Business category mode"