Name,Slug,Category,Popular,Status,Score,Routing,Configured Options,Missing Options,Notes
"Fancy Text Generator","fancy-text-generator","Font & Text Style Generators",true,"🟢 Production Ready",10,"Switch Case","fancy-filter;fancy-decor","","Production ready. Options fully wired, verified, and quality checks passed."
"Name Generator","name-generator","Name Generators",true,"🟢 Production Ready",9,"Switch Case","name-type;name-style","",""
"Username Generator","username-generator","Name Generators",true,"🟢 Production Ready",10,"Switch Case","username-platform;username-style","","Production ready. Platform and style options are wired to generate customized username categories."
"YouTube Tag Generator","youtube-tag-generator","Social Media & Tag Generators",true,"🟢 Production Ready",10,"Switch Case","tag-content-type;tag-strategy;yt-audience;yt-metadata-focus;tag-count","","Production ready. Video format, tag strategy, audience, metadata focus, and tag count are fully implemented."
"Instagram Bio Generator","instagram-bio-generator","Bio & Caption Generators",true,"🟢 Production Ready",9,"Switch Case","ig-account-type;emoji-level","",""
"Meta Tag Generator","meta-tag-generator","SEO & Marketing Generators",true,"🟢 Production Ready",9,"Switch Case","meta-page-type;meta-robots;meta-card-type;meta-include-canonical","",""
"Bold Text Generator","bold-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",10,"Switch Case","bold-filter;bold-decor","","Production ready. All bold filter styles and decorations are fully supported."
"Cursive Text Generator","cursive-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Glitch Text Generator","glitch-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Password Generator","password-generator","Utility Generators",true,"🟢 Production Ready",9,"Switch Case","password-length;password-mode;pw-uppercase;pw-lowercase;pw-numbers;pw-symbols","",""
"Lorem Ipsum Generator","lorem-ipsum-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","lorem-mode;lorem-count;lorem-start;lorem-format","",""
"Fantasy Name Generator","fantasy-name-generator","Gaming & Fantasy Generators",true,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Text Case Converter","text-case-converter","Utility Generators",false,"🟢 Production Ready",10,"Switch Case","case-preserve-lines;case-focus","","Production ready. Preserving line breaks option and developer/simple case filtering option are fully wired."
"Team Name Generator","team-name-generator","Name Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Robots.txt Generator","robots-txt-generator","SEO & Marketing Generators",false,"🟢 Production Ready",9,"Switch Case","robots-mode;robots-include-sitemap;robots-crawl-delay;robots-block-ai;robots-block-seo","",""
"Word Counter","word-counter","Utility Generators",false,"🟢 Production Ready",10,"Switch Case","reading-wpm;speaking-wpm;word-include-density","","Production ready. Reading speed, speaking speed, and keyword density calculations are fully supported."
"UUID Generator","uuid-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","uuid-version;uuid-count;uuid-case;uuid-hyphens","",""
"Random Number Generator","random-number-generator","Random Generators",false,"🟢 Production Ready",9,"Switch Case","random-min;random-max;random-quantity;random-unique;random-sorted;random-decimals","",""
"Small Text Generator","small-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Italic Text Generator","italic-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Strikethrough Text Generator","strikethrough-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Underline Text Generator","underline-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Vaporwave Text Generator","vaporwave-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Reverse Text Generator","reverse-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Unicode Text Generator","unicode-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Twitter/X Bio Generator","twitter-bio-generator","Bio & Caption Generators",false,"🟢 Production Ready",9,"Switch Case","twitter-bio-style;twitter-bio-cta","",""
"TikTok Bio Generator","tiktok-bio-generator","Bio & Caption Generators",false,"🟢 Production Ready",9,"Switch Case","tiktok-bio-tone;tiktok-bio-cta","",""
"LinkedIn Bio Generator","linkedin-bio-generator","Bio & Caption Generators",false,"🟢 Production Ready",9,"Switch Case","linkedin-profile-goal;linkedin-bio-length","",""
"Domain Name Generator","domain-name-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Product Name Generator","product-name-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","product-name-style","",""
"Baby Name Generator","baby-name-generator","Name Generators",true,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Middle Name Generator","middle-name-generator","Name Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Last Name Generator","last-name-generator","Name Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Discord Name Generator","discord-name-generator","Name Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Clan Name Generator","clan-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Band Name Generator","band-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","band-name-style","",""
"Superhero Name Generator","superhero-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Rap Name Generator","rap-name-generator","Creative & Story Generators",false,"🟢 Production Ready",10,"Pass19 Name Configs","rap-style;name-format","","Production ready. Lyrical/upbeat style combinations, name formats, and card-based resultHtml rendering implemented."
"Song Name Generator","song-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","song-name-style","",""
"Paragraph Generator","paragraph-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","paragraph-purpose;paragraph-tone;paragraph-audience;paragraph-length;paragraph-pov;paragraph-structure;paragraph-include-outline","",""
"Sentence Generator","sentence-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","sentence-mode;sentence-count;sentence-length","",""
"Blog Name Generator","blog-name-generator","AI Text & Writing Generators",false,"🟢 Production Ready",10,"Switch Case","name-style;name-length;include-taglines","","Production ready. Wire in length option to filter blog names dynamically."
"Pirate Name Generator","pirate-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Medieval Name Generator","medieval-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Hreflang Tag Generator","hreflang-tag-generator","SEO & Marketing Generators",false,"🟢 Production Ready",10,"Switch Case","hreflang-target;hreflang-x-default;hreflang-locales;hreflang-url-pattern","","Production ready. Wired target selection to filter HTML/Sitemap previews, added full support for URL structure and locale options."
"Schema Markup Generator","schema-tag-generator","SEO & Marketing Generators",false,"🟢 Production Ready",9,"Switch Case","schema-type","",""
"URL Slug Generator","slug-generator","Developer & Web Generators",false,"🟢 Production Ready",10,"Switch Case","slug-separator;slug-lowercase;slug-remove-stopwords;slug-max-length;slug-keyword-focus","","Production ready. Verified separators, casing, stop words, length limits, and focus keywords."
"Hash Generator","hash-generator","Developer & Web Generators",false,"🟢 Production Ready",10,"Switch Case","hash-algorithm-group;hash-uppercase","","Production ready. Wired algorithm group and uppercase casing, wrapped SubtleCrypto operations in a robust try-catch block for older browsers."
"JSON Formatter","json-formatter","Developer & Web Generators",false,"🟢 Production Ready",10,"Switch Case","json-indent;json-sort-keys;json-autofix","","Production ready. Verified spaces, keys sorting, and common syntax error auto-fixes."
"Coin Flip Generator","coin-flip","Random Generators",false,"🟢 Production Ready",9,"Switch Case","coin-count","",""
"Dice Roller","dice-roller","Random Generators",false,"🟢 Production Ready",9,"Switch Case","dice-count;dice-sides;dice-modifier","",""
"Color Palette Generator","color-palette-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Town Name Generator","town-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Kingdom Name Generator","kingdom-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Dragon Name Generator","dragon-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Wolf Name Generator","wolf-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Demon Name Generator","demon-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Elf Name Generator","elf-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Podcast Name Generator","podcast-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","show-format;name-style;include-taglines","",""
"YouTube Channel Name Generator","youtube-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","channel-position;name-style;include-handles","",""
"Instagram Caption Generator","instagram-caption-generator","Bio & Caption Generators",true,"🟢 Production Ready",10,"Switch Case","ig-caption-emoji;ig-caption-style","","Production ready. Verified emoji level prefixing and style sorting order."
"Nickname Generator","nickname-generator","Name Generators",true,"🟢 Production Ready",10,"Pass19 Name Configs","word-category;word-count;word-length","","Production ready. Implemented word categories, name counts, length boundaries, and reused renderGroupedIdeas helper for beautiful grid layouts."
"Hashtag Generator","hashtag-generator","Social Media & Tag Generators",true,"🟢 Production Ready",9,"Switch Case","","",""
"Etsy Tag Generator","etsy-tag-generator","SEO & Marketing Generators",false,"🟢 Production Ready",10,"Switch Case","etsy-product-type;etsy-material;etsy-style;etsy-occasion;etsy-buyer;etsy-personalization;etsy-positioning;tag-strategy;tag-count;include-long-tail","","Production ready. Verified listing tags generation from materials, styles, occasions, personalization, and target buyers."
"Writing Prompt Generator","writing-prompt-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","writing-prompt-genre;writing-prompt-difficulty;writing-prompt-tone;writing-prompt-length;writing-prompt-first-line","",""
"Text to Binary Converter","text-to-binary-generator","Developer & Web Generators",false,"🟢 Production Ready",10,"Switch Case","binary-mode;binary-format","","Production ready. Wired binary-mode options to enable true encoding, decoding, or auto-detection of binary digits."
"Morse Code Generator","morse-code-generator","Developer & Web Generators",false,"🟢 Production Ready",10,"Switch Case","morse-mode;morse-word-separator","","Production ready. Verified translation mode and custom word separators (slash/spaces)."
"Anime Name Generator","anime-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Fake Name Generator","fake-name-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"QR Code Text Generator","qr-code-text-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","qr-content-type","",""
"D&D Name Generator","dnd-name-generator","Gaming & Fantasy Generators",true,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Orc Name Generator","orc-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Witch Name Generator","witch-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Alien Name Generator","alien-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Vampire Name Generator","vampire-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Fairy Name Generator","fairy-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Goblin Name Generator","goblin-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Character Name Generator","character-name-generator","Creative & Story Generators",true,"🟢 Production Ready",9,"Switch Case","character-name-style","",""
"Story Title Generator","story-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","story-name-style","",""
"Twitch Name Generator","twitch-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","stream-style;name-style;include-handles","",""
"Random Phrase Generator","random-phrase-generator","Random Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Special Character Generator","special-character-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"ASCII Text Art Generator","ascii-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Creepy Text Generator","creepy-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Gaming Name Generator","gaming-name-generator","Gaming & Fantasy Generators",true,"🟢 Production Ready",9,"Switch Case","","",""
"Guild Name Generator","guild-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Planet Name Generator","planet-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Island Name Generator","island-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Shop Name Generator","shop-name-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","shop-name-style","",""
"Cafe Name Generator","cafe-name-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","cafe-name-style","",""
"Project Name Generator","project-name-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","project-name-style","",""
"Stage Name Generator","stage-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","stage-name-style","",""
"Wrestling Name Generator","wrestling-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Cool Text Generator","cool-text-generator","Font & Text Style Generators",true,"🟢 Production Ready",9,"Switch Case","","",""
"Old English Text Generator","old-english-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"UwU Text Generator","uwu-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Leet Speak Generator","leet-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Random Text Generator","random-text-generator","Random Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Discord Timestamp Generator","discord-timestamp-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","discord-time-source;discord-include-relative","",""
"Canonical Tag Generator","canonical-tag-generator","SEO & Marketing Generators",false,"🟢 Production Ready",9,"Switch Case","canonical-query-policy;canonical-trailing-slash","",""
"UTM Link Generator","utm-generator","SEO & Marketing Generators",false,"🟢 Production Ready",9,"Switch Case","utm-source;utm-medium;utm-campaign;utm-term;utm-content","",""
"Gibberish Generator","gibberish-generator","Random Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Shakespeare Insult Generator","shakespeare-insult-generator","Random Generators",false,"🟢 Production Ready",9,"Includes Check","humor-intensity;humor-context;humor-tone;humor-target-type;humor-variant;humor-count;humor-safe-mode;humor-avoid-list;humor-softer","",""
"TikTok Name Generator","tiktok-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Instagram Name Generator","instagram-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Couple Name Generator","couple-name-generator","Name Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Dwarf Name Generator","dwarf-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Tiefling Name Generator","tiefling-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"School Name Generator","school-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Street Name Generator","street-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Book Club Name Generator","book-club-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","book-club-name-style","",""
"SEO Title Generator","seo-title-generator","SEO & Marketing Generators",false,"🟢 Production Ready",9,"Switch Case","seo-title-intent;seo-title-include-year","",""
"Pinterest Tag Generator","pinterest-tag-generator","Social Media & Tag Generators",false,"🟢 Production Ready",10,"Switch Case","tag-content-type;tag-strategy;pin-season;pin-destination;tag-count","","Production ready. Verified pin intents, keyword strategy constraints, seasons, destinations, and section sizes."
"SoundCloud Tag Generator","soundcloud-tag-generator","Social Media & Tag Generators",false,"🟢 Production Ready",10,"Switch Case","soundcloud-tag-style;soundcloud-track-type;soundcloud-genre;soundcloud-mood;soundcloud-vocal;soundcloud-release-context","","Production ready. Verified output sections, tracks types, genres, moods, vocal context, and release environments."
"Comeback Generator","comeback-generator","Random Generators",false,"🟢 Production Ready",9,"Includes Check","comeback-situation;humor-intensity;humor-tone;humor-target-type;comeback-boundary-style;comeback-deescalation;humor-variant;humor-count;humor-safe-mode;humor-avoid-list;humor-softer","",""
"Error Message Generator","error-message-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","error-severity;error-tone;error-action","",""
"Cipher Generator","cipher-generator","Developer & Web Generators",false,"🟢 Production Ready",10,"Switch Case","cipher-type;cipher-mode;cipher-shift","","Production ready. Verified Caesar shifts, ROT13, and Atbash alphabet reversal with proper HTML result grids."
"Repeat Text Generator","repeat-text-generator","Utility Generators",false,"🟢 Production Ready",10,"Switch Case","repeat-count;repeat-separator","","Production ready. Verified counts, line/comma/space separators, and numbered line generators."
"Magic Name Generator","magic-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Angel Name Generator","angel-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Tavern Name Generator","tavern-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Dungeon Name Generator","dungeon-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Cat Name Generator","cat-name-generator","Name Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Horse Name Generator","horse-name-generator","Name Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Twitter/X Name Generator","twitter-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Snapchat Name Generator","snapchat-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"LinkedIn Headline Generator","linkedin-headline-generator","Bio & Caption Generators",false,"🟢 Production Ready",9,"Switch Case","linkedin-headline-style","",""
"Bio Generator","bio-generator","Bio & Caption Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Slogan Generator","slogan-generator","Business & Brand Generators",false,"🟢 Production Ready",10,"Switch Case","slogan-tone;slogan-use","","Production ready. Implemented tone and use case routing to categorize brand positionings and campaign slogans."
"WiFi Name Generator","wifi-name-generator","Random Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Color Name Generator","color-name-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","color-name-style;color-name-count","",""
"Hex Color Generator","hex-color-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","hex-color-mode;hex-color-count","",""
"RGB Color Generator","rgb-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","rgb-range;rgb-count","",""
"AI Prompt Generator","ai-prompt-generator","AI Text & Writing Generators",true,"🟢 Production Ready",9,"Switch Case","ai-prompt-task;ai-prompt-detail;ai-prompt-format;ai-prompt-followup","",""
"Midjourney Prompt Generator","midjourney-prompt-generator","AI Text & Writing Generators",false,"🟢 Production Ready",10,"Switch Case","mj-purpose;mj-subject-type;mj-style;mj-mood;mj-lighting;mj-composition;mj-aspect;mj-detail-level;mj-output-format;mj-safety-level;mj-negative;mj-commercial-caution","","Production ready. Wired all 12 options for target parameters, detailed styles, aspect ratios, safety checklists, and negative prompts."
"Passphrase Generator","passphrase-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"PIN Generator","pin-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"API Key Generator","api-key-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Privacy Policy Generator","privacy-policy-generator","SEO & Marketing Generators",true,"🟢 Production Ready",10,"Switch Case","privacy-business-type;privacy-region;privacy-data-scope;policy-cookies;policy-analytics;policy-ads;privacy-children","","Production ready. Wired business types, primary regions, data scopes, cookie policies, and children COPPA notes."
"Terms and Conditions Generator","terms-generator","SEO & Marketing Generators",false,"🟢 Production Ready",10,"Switch Case","terms-mode;terms-region;terms-business-model;terms-accounts;terms-payments;terms-user-content;terms-acceptable-use","","Production ready. Consolidated terms, wired regions/business models/user contents, and removed duplicate implementation blocks."
"Cookie Policy Generator","cookie-policy-generator","SEO & Marketing Generators",false,"🟢 Production Ready",10,"Switch Case","cookie-stack;cookie-region;cookie-control;cookie-third-parties;cookie-consent-review","","Production ready. Implemented cookie stacks, regions, opt-out controls, third-party warnings, and consent notes in beautiful suites."
"Disclaimer Generator","disclaimer-generator","SEO & Marketing Generators",false,"🟢 Production Ready",10,"Switch Case","disclaimer-content-type;disclaimer-region;disclaimer-risk;disclaimer-external-links;disclaimer-affiliates;disclaimer-no-professional-advice","","Production ready. Wired content types, regions, topic risk levels, external links, affiliates, and professional advice notices."
"Open Graph Tag Generator","open-graph-generator","SEO & Marketing Generators",false,"🟢 Production Ready",9,"Switch Case","og-type;og-site-name;og-image","",""
"Twitter Card Generator","twitter-card-generator","SEO & Marketing Generators",false,"🟢 Production Ready",9,"Switch Case","twitter-card-type;twitter-site;twitter-creator;twitter-image","",""
"YouTube Description Generator","youtube-description-generator","Bio & Caption Generators",false,"🟢 Production Ready",9,"Switch Case","video-style;include-timestamps","",""
